"STATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00451233","2017-01-01",,,,,"16.3",",,7,0800","135.0",",,7,","356.0",",,7,","0.0",",,7","-3.3",",,7","-3.3",",,7,0800",,,,,,
"USC00451233","2017-01-02",,,,,"0.0",",,7,0800","0.0",",,7,","305.0",",,7,","-1.1",",,7","-7.2",",,7","-7.2",",,7,0800",,,,,,
"USC00451233","2017-01-03",,,,,"0.0",",,7,0800","0.0",",,7,","305.0",",,7,","-5.6",",,7","-7.2",",,7","-7.2",",,7,0800",,,,,,
"USC00451233","2017-01-04",,,,,"0.0",",,7,0800","0.0",",,7,","305.0",",,7,","-5.6",",,7","-7.2",",,7","-7.2",",,7,0800",,,,,,
"USC00451233","2017-01-05",,,,,"0.0",",,7,0800","0.0",",,7,","279.0",",,7,","-4.4",",,7","-8.3",",,7","-7.2",",,7,0800",,,,,,
"USC00451233","2017-01-06",,,,,"0.0",",,7,0800","0.0",",,7,","279.0",",,7,","-3.9",",,7","-7.8",",,7","-7.8",",,7,0800",,,,,,
"USC00451233","2017-01-07",,,,,"0.0",",,7,0800","0.0",",,7,","254.0",",,7,","-4.4",",,7","-7.8",",,7","-4.4",",,7,0800",,,,,,
"USC00451233","2017-01-08",,,,,"0.0",",,7,0800","0.0",",,7,","279.0",",,7,","1.1",",,7","-4.4",",,7","0.6",",,7,0800",,,,,,
"USC00451233","2017-01-09",,,,,"7.9",",,7,0800","18.0",",,7,","305.0",",,7,","1.7",",,7","-1.7",",,7","-0.6",",,7,0800",,,,,,
"USC00451233","2017-01-10",,,,,"5.8",",,7,0800","38.0",",,7,","330.0",",,7,","0.0",",,7","-2.2",",,7","-1.7",",,7,0800",,,,,,
"USC00451233","2017-01-11",,,,,"0.0",",,7,0800","0.0",",,7,","330.0",",,7,","-1.7",",,7","-5.6",",,7","-5.6",",,7,0800",,,,,,
"USC00451233","2017-01-12",,,,,"0.0",",,7,0800","0.0",",,7,","305.0",",,7,","-2.2",",,7","-7.2",",,7","-7.2",",,7,0800",,,,,,
"USC00451233","2017-01-13",,,,,"0.0",",,7,0800","0.0",",,7,","305.0",",,7,","-3.3",",,7","-7.2",",,7","-6.7",",,7,0800",,,,,,
"USC00451233","2017-01-14",,,,,"0.0",",,7,0800","0.0",",,7,","305.0",",,7,","-1.7",",,7","-7.2",",,7","-3.3",",,7,0800",,,,,,
"USC00451233","2017-01-15",,,,,"0.0",",,7,0800","0.0",",,7,","305.0",",,7,","1.1",",,7","-3.9",",,7","-3.3",",,7,0800",,,,,,
"USC00451233","2017-01-16",,,,,"0.0",",,7,0800","0.0",",,7,","305.0",",,7,","0.6",",,7","-3.3",",,7","-1.7",",,7,0800",,,,,,
"USC00451233","2017-01-17",,,,,"1.5",",,7,0800","0.0",",,7,","305.0",",,7,","3.3",",,7","-1.7",",,7","0.0",",,7,0800",,,,,,
"USC00451233","2017-01-18",,,,,"43.9",",,7,0800","0.0",",,7,","254.0",",,7,","3.3",",,7","0.0",",,7","2.2",",,7,0800",,,,,,
"USC00451233","2017-01-19",,,,,"14.7",",,7,0800","0.0",",,7,","203.0",",,7,","4.4",",,7","0.6",",,7","0.6",",,7,0800",,,,,,
"USC00451233","2017-01-20",,,,,"3.8",",,7,0800","0.0",",,7,","203.0",",,7,","3.3",",,7","-0.6",",,7","3.3",",,7,0800",,,,,,
"USC00451233","2017-01-21",,,,,"0.0",",,7,0800","0.0",",,7,","127.0",",,7,","5.0",",,7","0.6",",,7","0.6",",,7,0800",,,,,,
"USC00451233","2017-01-22",,,,,"0.8",",,7,0800","0.0",",,7,","102.0",",,7,","5.0",",,7","0.6",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-01-23",,,,,"4.1",",,7,0800","0.0",",,7,","102.0",",,7,","5.0",",,7","-1.7",",,7","-1.1",",,7,0800",,,,,,
"USC00451233","2017-01-24",,,,,"0.0",",,7,0800","0.0",",,7,","76.0",",,7,","2.2",",,7","-3.3",",,7","-3.3",",,7,0800",,,,,,
"USC00451233","2017-01-25",,,,,"0.0",",,7,0800","0.0",",,7,","76.0",",,7,","2.2",",,7","-3.3",",,7","-0.6",",,7,0800",,,,,,
"USC00451233","2017-01-26",,,,,"2.8",",,7,0800","0.0",",,7,","51.0",",,7,","1.7",",,7","-0.6",",,7","0.0",",,7,0800",,,,,,
"USC00451233","2017-01-27",,,,,"0.0",",,7,0800","0.0",",,7,","25.0",",,7,","3.3",",,7","-1.7",",,7","-1.1",",,7,0800",,,,,,
"USC00451233","2017-01-28",,,,,"0.0",",,7,0800","0.0",",,7,","25.0",",,7,","3.3",",,7","-1.7",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-01-29",,,,,"0.0",",,7,0800","0.0",",,7,","25.0",",,7,","5.6",",,7","0.0",",,7","0.6",",,7,0800",,,,,,
"USC00451233","2017-01-30",,,,,"13.0",",,7,0800","0.0",",,7,","0.0",",,7,","5.6",",,7","0.6",",,7","2.2",",,7,0800",,,,,,
"USC00451233","2017-01-31",,,,,"2.3",",,7,0800","0.0",",,7,","0.0",",,7,","2.8",",,7","-0.6",",,7","-0.6",",,7,0800",,,,,,
"USC00451233","2017-02-01",,,,,"0.3",",,7,0800","0.0",",,7,","0.0",",,7,","-0.6",",,7","-4.4",",,7","-3.9",",,7,0800",,,,,,
"USC00451233","2017-02-02",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","-0.6",",,7","-3.9",",,7","-3.3",",,7,0800",,,,,,
"USC00451233","2017-02-03",,,,,"2.3",",,7,0800","0.0","T,,7,","0.0","T,,7,","0.0",",,7","-3.9",",,7","-2.2",",,7,0800",,,,,,
"USC00451233","2017-02-04",,,,,"27.9",",,7,0800","69.0",",,7,","76.0",",,7,","1.1",",,7","-3.3",",,7","-0.6",",,7,0800",,,,,,
"USC00451233","2017-02-05",,,,,"53.1",",,7,0800","127.0",",,7,","203.0",",,7,","1.7",",,7","-0.6",",,7","-0.6",",,7,0800",,,,,,
"USC00451233","2017-02-06",,,,,"32.5",",,7,0800","305.0",",,7,","432.0",",,7,","0.0",",,7","-2.8",",,7","-1.7",",,7,0800",,,,,,
"USC00451233","2017-02-07",,,,,"9.4",",,7,0800","114.0",",,7,","457.0",",,7,","0.6",",,7","-4.4",",,7","-4.4",",,7,0800",,,,,,
"USC00451233","2017-02-08",,,,,"2.3",",,7,0800","20.0",",,7,","406.0",",,7,","0.0",",,7","-4.4",",,7","-1.1",",,7,0800",,,,,,
"USC00451233","2017-02-09",,,,,"36.8",",,7,0800","0.0",",,7,","330.0",",,7,","2.2",",,7","-1.1",",,7","1.1",",,7,0800",,,,,,
"USC00451233","2017-02-10",,,,,"39.1",",,7,0800","0.0",",,7,","152.0",",,7,","7.8",",,7","0.6",",,7","1.1",",,7,0800",,,,,,
"USC00451233","2017-02-11",,,,,"8.1",",,7,0800","0.0",",,7,","127.0",",,7,","2.8",",,7","0.0",",,7","0.0",",,7,0800",,,,,,
"USC00451233","2017-02-12",,,,,"0.0",",,7,0800","0.0",",,7,","127.0",",,7,","2.8",",,7","-2.2",",,7","-0.6",",,7,0800",,,,,,
"USC00451233","2017-02-13",,,,,"0.0",",,7,0800","0.0",",,7,","102.0",",,7,","4.4",",,7","-1.1",",,7","3.3",",,7,0800",,,,,,
"USC00451233","2017-02-14",,,,,"0.0",",,7,0800","0.0",",,7,","76.0",",,7,","11.1",",,7","2.8",",,7","8.3",",,7,0800",,,,,,
"USC00451233","2017-02-15",,,,,"17.5",",,7,0800","0.0",",,7,","51.0",",,7,","10.0",",,7","1.7",",,7","3.9",",,7,0800",,,,,,
"USC00451233","2017-02-16",,,,,"39.9",",,7,0800","0.0",",,7,","25.0",",,7,","6.7",",,7","3.3",",,7","3.9",",,7,0800",,,,,,
"USC00451233","2017-02-17",,,,,"14.5",",,7,0800","0.0",",,7,","0.0",",,7,","6.1",",,7","1.1",",,7","1.1",",,7,0800",,,,,,
"USC00451233","2017-02-18",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","5.6",",,7","0.6",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-02-19",,,,,"10.9",",,7,0800","0.0",",,7,","0.0",",,7,","3.3",",,7","0.6",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-02-20",,,,,"8.4",",,7,0800","0.0",",,7,","0.0",",,7,","3.9",",,7","1.1",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-02-21",,,,,"11.4",",,7,0800","0.0",",,7,","0.0",",,7,","3.3",",,7","0.6",",,7","1.1",",,7,0800",,,,,,
"USC00451233","2017-02-22",,,,,"10.7",",,7,0800","13.0",",,7,","25.0",",,7,","2.8",",,7","-0.6",",,7","-0.6",",,7,0800",,,,,,
"USC00451233","2017-02-23",,,,,"1.8",",,7,0800","5.0",",,7,","0.0",",,7,","2.8",",,7","-2.2",",,7","-1.1",",,7,0800",,,,,,
"USC00451233","2017-02-24",,,,,"3.6",",,7,0800","46.0",",,7,","51.0",",,7,","1.1",",,7","-3.3",",,7","-2.8",",,7,0800",,,,,,
"USC00451233","2017-02-25",,,,,"0.0",",,7,0800","0.0",",,7,","25.0",",,7,","1.1",",,7","-4.4",",,7","-3.3",",,7,0800",,,,,,
"USC00451233","2017-02-26",,,,,"16.5",",,7,0800","178.0",",,7,","203.0",",,7,","1.7",",,7","-3.3",",,7","-1.1",",,7,0800",,,,,,
"USC00451233","2017-02-27",,,,,"3.3",",,7,0800","25.0",",,7,","152.0",",,7,","1.1",",,7","-2.2",",,7","-1.7",",,7,0800",,,,,,
"USC00451233","2017-02-28",,,,,"18.8",",,7,0800","203.0",",,7,","330.0",",,7,","0.6",",,7","-2.8",",,7","-2.8",",,7,0800",,,,,,
"USC00451233","2017-03-01",,,,,"12.4",",,7,0800","8.0",",,7,","305.0",",,7,","2.2",",,7","-3.3",",,7","1.1",",,7,0800",,,,,,
"USC00451233","2017-03-02",,,,,"4.8",",,7,0800","0.0",",,7,","152.0",",,7,","3.3",",,7","0.0",",,7","0.6",",,7,0800",,,,,,
"USC00451233","2017-03-03",,,,,"14.0",",,7,0800","0.0",",,7,","102.0",",,7,","3.3",",,7","0.0",",,7","2.2",",,7,0800",,,,,,
"USC00451233","2017-03-04",,,,,"24.1",",,7,0800","20.0",",,7,","102.0",",,7,","4.4",",,7","-1.1",",,7","-1.1",",,7,0800",,,,,,
"USC00451233","2017-03-05",,,,,"7.6",",,7,0800","97.0",",,7,","178.0",",,7,","1.7",",,7","-1.7",",,7","-1.1",",,7,0800",,,,,,
"USC00451233","2017-03-06",,,,,"3.3",",,7,0800","64.0",",,7,","178.0",",,7,","2.2",",,7","-1.7",",,7","-1.7",",,7,0800",,,,,,
"USC00451233","2017-03-07",,,,,"13.5",",,7,0800","152.0",",,7,","305.0",",,7,","0.6",",,7","-2.2",",,7","-1.1",",,7,0800",,,,,,
"USC00451233","2017-03-08",,,,,"22.1",",,7,0800","76.0",",,7,","330.0",",,7,","2.2",",,7","-1.1",",,7","0.0",",,7,0800",,,,,,
"USC00451233","2017-03-09",,,,,"12.2",",,7,0800","122.0",",,7,","356.0",",,7,","0.6",",,7","-0.6",",,7","0.0",",,7,0800",,,,,,
"USC00451233","2017-03-10",,,,,"40.9",",,7,0800","0.0",",,7,","178.0",",,7,","6.1",",,7","0.0",",,7","5.6",",,7,0800",,,,,,
"USC00451233","2017-03-11",,,,,"3.8",",,7,0800","0.0",",,7,","51.0",",,7,","7.2",",,7","1.7",",,7","6.7",",,7,0800",,,,,,
"USC00451233","2017-03-12",,,,,"24.4",",,7,0800","0.0",",,7,","0.0",",,7,","7.8",",,7","2.8",",,7","3.3",",,7,0800",,,,,,
"USC00451233","2017-03-13",,,,,"3.3",",,7,0800","0.0",",,7,","0.0",",,7,","7.8",",,7","2.8",",,7","3.9",",,7,0800",,,,,,
